[2025-08-04 15:18:36] [LIVE MONITOR] dllhost.exe | C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F} | Rule: Benign (0.0) | ML: Malicious (67.28%)
[2025-08-04 15:18:36] [LIVE MONITOR] VoiceControlEngine.exe | C:\Program Files (x86)\MSI\One Dragon Center\VoiceControl\\VoiceControlEngine.exe | Rule: Benign (0.0) | ML: Benign (55.12%)
[2025-08-04 15:18:36] [LIVE MONITOR] SecurityHealthSystray.exe | C:\Windows\System32\SecurityHealthSystray.exe | Rule: Benign (0.0) | ML: Malicious (67.28%)
[2025-08-04 15:18:36] [LIVE MONITOR] NVIDIA Overlay.exe | C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe | Rule: Benign (0.0) | ML: Benign (51.24%)
[2025-08-04 15:18:36] [LIVE MONITOR] svchost.exe | C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc | Rule: Benign (0.0) | ML: Malicious (67.28%)
[2025-08-04 15:18:36] [LIVE MONITOR] ai.exe | C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe 5BFDC3C0-32D9-4549-8D08-758AD6E8D5A6 20B8EE1C-04F2-45A8-9193-C5461AA905BF 44832 C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE WordCombinedFloatieLreOnline.onnx | Rule: Benign (0.0) | ML: Malicious (38.42%)
[2025-08-04 15:18:36] [LIVE MONITOR] chrome.exe | C:\Program Files (x86)\Google\Chrome\Application\chrome.exe --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --video-capture-use-gpu-memory-buffer --no-pre-read-main-dll --field-trial-handle=1856,i,8169634620390676217,516874340180825794,262144 --variations-seed-version --mojo-platform-channel-handle=8888 /prefetch:8 | Rule: Benign (0.0) | ML: Benign (75.37%)
[2025-08-04 15:18:36] [LIVE MONITOR] NVIDIA Overlay.exe | C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe --type=gpu-process --no-sandbox --start-stack-profiler --user-data-dir=C:\Users\Sharveenn.M\AppData\Local\NVIDIA Corporation\NVIDIA Overlay\CefCache --gpu-preferences=UAAAAAAAAADgAQAMAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=2536,i,8235516340855988306,18089878349739255277,262144 --variations-seed-version --enable-logging=handle --log-file=2600 --mojo-platform-channel-handle=2324 /prefetch:2 | Rule: Benign (0.0) | ML: Benign (57.28%)
[2025-08-04 15:18:36] [LIVE MONITOR] chrome.exe | C:\Program Files (x86)\Google\Chrome\Application\chrome.exe --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1754064519156847 --launch-time-ticks=126882927 --field-trial-handle=1856,i,8169634620390676217,516874340180825794,262144 --variations-seed-version --mojo-platform-channel-handle=4196 /prefetch:2 | Rule: Benign (0.0) | ML: Benign (68.75%)
[2025-08-04 15:18:36] [LIVE MONITOR] msedge.exe | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --type=renderer --extension-process --renderer-sub-type=extension --pdf-upsell-enabled --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--ms-user-locale=en_MY --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1754064520563023 --launch-time-ticks=225961630161 --always-read-main-dll --field-trial-handle=2312,i,17830305495504118844,16753355586717165512,262144 --variations-seed-version --mojo-platform-channel-handle=3868 /prefetch:2 | Rule: Benign (0.0) | ML: Benign (49.88%)
[2025-08-04 15:18:36] [LIVE MONITOR] chrome.exe | C:\Program Files (x86)\Google\Chrome\Application\chrome.exe --type=renderer --enable-dinosaur-easter-egg-alt-images --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=105 --time-ticks-at-unix-epoch=-1754064519156847 --launch-time-ticks=2536023500 --field-trial-handle=1856,i,8169634620390676217,516874340180825794,262144 --variations-seed-version --mojo-platform-channel-handle=12464 /prefetch:1 | Rule: Benign (0.0) | ML: Benign (72.24%)
[2025-08-04 15:18:36] [LIVE MONITOR] StartMenuExperienceHost.exe | C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca | Rule: Benign (0.0) | ML: Suspicious (47.7%)
[2025-08-04 15:18:36] [LIVE MONITOR] msedgewebview2.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe --embedded-browser-webview=1 --webview-exe-name=ms-teams.exe --webview-exe-version=25185.410.3812.8024 --user-data-dir=C:\Users\Sharveenn.M\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --disable-features=msEnhancedTrackingPreventionEnabled,BreakoutBoxPreferCaptureTimestampInVideoFrames,msWebOOUI --enable-features=msSingleSignOnOSForPrimaryAccountIsShared,AutofillReplaceCachedWebElementsByRendererIds,PartitionedCookies,PreferredAudioOutputDevices,SharedArrayBuffer,ThirdPartyStoragePartitioning,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes,msWebView2TerminateServiceWorkerWhenIdleIgnoringCdpSessions,msWebView2TextureStream --isolate-origins=https://[*.]microsoft.com,https://[*.]sharepoint.com,https://[*.]sharepointonline.com,https://mesh-hearts-teams.azurewebsites.net,https://[*.]meshxp.net,https://res-sdf.cdn.office.net,https://res.cdn.office.net,https://copilot.teams.cloud.microsoft,https://local.copilot.teams.office.com --lang=en-MY --mojo-named-platform-channel-pipe=12164.4940.16721318572401435291 | Rule: Benign (0.0) | ML: Malicious (76.72%)
[2025-08-04 15:18:36] [LIVE MONITOR] NVIDIA Overlay.exe | C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe --type=renderer --enable-dinosaur-easter-egg-alt-images --user-data-dir=C:\Users\Sharveenn.M\AppData\Local\NVIDIA Corporation\NVIDIA Overlay\CefCache --no-sandbox --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1754064519156145 --launch-time-ticks=29369646 --field-trial-handle=4212,i,8235516340855988306,18089878349739255277,262144 --variations-seed-version --enable-logging=handle --log-file=3816 --mojo-platform-channel-handle=4188 /prefetch:1 | Rule: Benign (0.0) | ML: Benign (68.95%)
[2025-08-04 15:18:36] [LIVE MONITOR] chrome.exe | C:\Program Files (x86)\Google\Chrome\Application\chrome.exe --type=renderer --enable-dinosaur-easter-egg-alt-images --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=67 --time-ticks-at-unix-epoch=-1754064519156847 --launch-time-ticks=134338808 --field-trial-handle=1856,i,8169634620390676217,516874340180825794,262144 --variations-seed-version --mojo-platform-channel-handle=9584 /prefetch:1 | Rule: Benign (0.0) | ML: Benign (72.24%)
[2025-08-04 15:18:36] [LIVE MONITOR] SearchApp.exe | C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca | Rule: Benign (0.0) | ML: Suspicious (48.3%)
[2025-08-04 15:18:36] [LIVE MONITOR] notepad.exe | C:\WINDOWS\system32\notepad.exe | Rule: Benign (0.0) | ML: Malicious (47.05%)
[2025-08-04 15:18:36] [LIVE MONITOR] UserOOBEBroker.exe | C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding | Rule: Benign (0.0) | ML: Malicious (67.28%)
[2025-08-04 15:18:36] [LIVE MONITOR] msedge.exe | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2312,i,17830305495504118844,16753355586717165512,262144 --variations-seed-version --mojo-platform-channel-handle=2652 /prefetch:3 | Rule: Benign (0.0) | ML: Benign (40.36%)
